Name,Year,Director,Screenplay,Budget,Revenue,Genre 1,Genre 2,Genre 3,Duration
When Marnie Was There,2014,Hiromasa Yonebayashi,Joan G. Robinson,1150,34949567,Animation,Drama,,103
The Tale of The Princess Kaguya,2013,Isao Takahata,Riko Sakaguchi,49.3,24366656,Animation,Drama,Fantasy,137
The Wind Rises,2013,Hayao Miyazaki,Tatsuo Hori,30,117932401,Drama,Animation,Romance,126
From Up on Poppy Hill,2011,Goro Miyazaki,Hayao Miyazaki,22,61037844,Animation,Drama,,91
The Secret World of Arrietty,2010,Hiromasa Yonebayashi,Mary Norton,23,149480483,Fantasy,Animation,Family,94
Ponyo,2008,Hayao Miyazaki,,34,202404009,Animation,Fantasy,Family,100
Ocean Waves,1994,Tomomi Mochizuki,Saeko Himuro,5,100000,Animation,Drama,Romance,72
Tales from Earthsea,2006,Goro Miyazaki,Ursula K. Le Guin,22,68625104,Animation,Fantasy,Adventure,115
Only Yesterday,1991,Isao Takahata,,2.5,473110,Animation,Drama,Romance,119
Spirited Away,2001,Hayao Miyazaki,,19,274925095,Animation,Family,Fantasy,125
My Neighbors the Yamadas,1999,Isao Takahata,,20.5,167000000,Animation,Family,,104
Whisper of the Heart,1995,Yoshifumi Kondo,Hayao Miyazaki,7,34900000,Animation,Drama,Family,111
Grave of the Fireflies,1988,Isao Takahata,Akiyuki Nosaka,3.7,516962,Animation,Drama,War,89
My Neighbor Totoro,1988,Hayao Miyazaki,,3.7,41000000,Fantasy,Animation,Family,86
Princess Mononoke,1997,Hayao Miyazaki,,23.5,169000000,Adventure,Fantasy,Animation,134
Howl's Moving Castle,2004,Hayao Miyazaki,Diana Wynne Jones,24,236049757,Fantasy,Animation,Adventure,119
Castle in the Sky,1986,Hayao Miyazaki,,3,5228752,Adventure,Fantasy,Animation,125
Kiki's Delivery Service,1989,Hayao Miyazaki,Eiko Kadono,6.9,4493017,Animation,Family,Fantasy,103
Pom Poko,1994,Isao Takahata,,12,4470000000,Adventure,Animation,Fantasy,119
Porco Rosso,1992,Hayao Miyazaki,,9.2,34100000,Family,Comedy,Animation,93
The Cat Returns,2002,Hiroyuki Morita,Reiko Yoshida,20,54016370,Adventure,Fantasy,Animation,75
Nausica of the Valley of the Wind,1984,Hayao Miyazaki,Kazunori Ito,1,3301446,Adventure,Animation,Fantasy,117
The Boy and the Heron,2023,Hayao Miyazaki,Hayao Miyazaki,100,167000000,Fantasy,Adventure,,124
